	x		sin(x)*cos(c)		sin'(x)
	      2.99		      0.02		     -0.28
	      3.00		      0.02		     -0.26
	      3.01		      0.02		     -0.24
	      3.02		      0.01		     -0.22
	      3.03		      0.01		     -0.21
	      3.04		      0.01		     -0.19
	      3.05		      0.01		     -0.17
	      3.06		      0.01		     -0.15
	      3.07		      0.01		     -0.13
	      3.08		      0.00		     -0.11
	      3.09		      0.00		     -0.09
	      3.10		      0.00		     -0.07
	      3.11		      0.00		     -0.05
	      3.12		      0.00		     -0.03
	      3.13		      0.00		     -0.01
	      3.14		      0.00		      0.01
	      3.15		      0.00		      0.03
	      3.16		      0.00		      0.05
	      3.17		      0.00		      0.07
	      3.18		      0.00		      0.09
	      3.19		      0.00		      0.11
	      3.20		      0.00		      0.13
	      3.21		      0.00		      0.14
	      3.22		      0.01		      0.16
	      3.23		      0.01		      0.18
	      3.24		      0.01		      0.20
	      3.25		      0.01		      0.22
	      3.26		      0.01		      0.24
	      3.27		      0.02		      0.25
	      3.28		      0.02		      0.27
	      3.29		      0.02		      0.29
	      3.30		      0.02		      0.30
	      3.31		      0.03		      0.32
	      3.32		      0.03		      0.33
	      3.33		      0.03		      0.35
	      3.34		      0.04		      0.36
	      3.35		      0.04		      0.38
	      3.36		      0.04		      0.39
	      3.37		      0.05		      0.40
	      3.38		      0.05		      0.41
	      3.39		      0.06		      0.42
	      3.40		      0.06		      0.43
	      3.41		      0.07		      0.44
	      3.42		      0.07		      0.45
	      3.43		      0.07		      0.46
	      3.44		      0.08		      0.47
	      3.45		      0.08		      0.48
	      3.46		      0.09		      0.48
	      3.47		      0.09		      0.49
	      3.48		      0.10		      0.49
	      3.49		      0.10		      0.49
	      3.50		      0.11		      0.50
	      3.51		      0.11		      0.50
	      3.52		      0.12		      0.50
	      3.53		      0.12		      0.50
	      3.54		      0.13		      0.50
	      3.55		      0.13		      0.50
	      3.56		      0.14		      0.50
	      3.57		      0.14		      0.49
	      3.58		      0.15		      0.49
	      3.59		      0.15		      0.49
	      3.60		      0.16		      0.48
	      3.61		      0.16		      0.47
	      3.62		      0.17		      0.47
	      3.63		      0.17		      0.46
	      3.64		      0.18		      0.45
	      3.65		      0.18		      0.44
	      3.66		      0.19		      0.43
	      3.67		      0.19		      0.42
	      3.68		      0.19		      0.41
	      3.69		      0.20		      0.40
	      3.70		      0.20		      0.39
	      3.71		      0.21		      0.37
	      3.72		      0.21		      0.36
	      3.73		      0.21		      0.35
	      3.74		      0.22		      0.33
	      3.75		      0.22		      0.32
	      3.76		      0.22		      0.30
	      3.77		      0.23		      0.29
	      3.78		      0.23		      0.27
	      3.79		      0.23		      0.25
	      3.80		      0.23		      0.23
	      3.81		      0.24		      0.22
	      3.82		      0.24		      0.20
	      3.83		      0.24		      0.18
	      3.84		      0.24		      0.16
	      3.85		      0.24		      0.14
	      3.86		      0.25		      0.12
	      3.87		      0.25		      0.10
	      3.88		      0.25		      0.08
	      3.89		      0.25		      0.06
	      3.90		      0.25		      0.04
	      3.91		      0.25		      0.02
	      3.92		      0.25		      0.00
	      3.93		      0.25		     -0.02
	      3.94		      0.25		     -0.04
	      3.95		      0.25		     -0.06
	      3.96		      0.25		     -0.08
	      3.97		      0.25		     -0.10
	      3.98		      0.25		     -0.11
	      3.99		      0.25		     -0.13
	      4.00		      0.24		     -0.15
	      4.01		      0.24		     -0.17
	      4.02		      0.24		     -0.19
	      4.03		      0.24		     -0.21
	      4.04		      0.24		     -0.23
	      4.05		      0.24		     -0.24
	      4.06		      0.23		     -0.26
	      4.07		      0.23		     -0.28
	      4.08		      0.23		     -0.30
	      4.09		      0.22		     -0.31
	      4.10		      0.22		     -0.33
	      4.11		      0.22		     -0.34
	      4.12		      0.21		     -0.36
	      4.13		      0.21		     -0.37
	      4.14		      0.21		     -0.38
	      4.15		      0.20		     -0.40
	      4.16		      0.20		     -0.41
	      4.17		      0.20		     -0.42
	      4.18		      0.19		     -0.43
	      4.19		      0.19		     -0.44
	      4.20		      0.18		     -0.45
	      4.21		      0.18		     -0.46
	      4.22		      0.17		     -0.46
	      4.23		      0.17		     -0.47
	      4.24		      0.16		     -0.48
	      4.25		      0.16		     -0.48
